restaurant_code,restaurant_name,img_link,region,category,address,open_time,close_time,tel_no,tags,character,latitude,longitude
0,유태우스시,https://d12zq4w4guyljn.cloudfront.net/300_300_20251221075826166_photo_c2f5e0670740.webp,신대방삼거리역,"스시,회전초밥",서울특별시 동작구 보라매로 113 1층 유태우스시,11:00,22:00,0507-1358-1246,"데이트,혼밥","가성비좋은,서민적인,점심식사,저녁식사,바테이블,다찌석",37.4994633095093,126.927896614044
1,듀윗,https://d12zq4w4guyljn.cloudfront.net/300_300_20250408030027357_photo_7a77fcde6cd2.webp,신대방삼거리역,"디저트,케이크",서울특별시 동작구 대방동1길 10 1층,08:00,21:00,0507-2093-6672,"데이트,기념일","예쁜,깔끔한,점심식사,테이크아웃,예약가능",37.5003637668422,126.92671225982
2,한제소곱창전골 신대방삼거리역점,https://d12zq4w4guyljn.cloudfront.net/300_300_20260303032143_menu1_3c232e2fcc86.webp,신대방삼거리역,"곱창전골,소곱창전골","서울특별시 동작구 여의대방로22길 121 상가동 1층 1444호, 1445호",16:00,00:00,0507-1359-9161,"술모임,해장용","지역주민이찾는,매콤한,저녁식사,예약가능,배달",37.499106,126.926924
3,프로스퍼,https://d12zq4w4guyljn.cloudfront.net/300_300_20250921111001_photo1_394db3cb2fa0.webp,신대방삼거리역,"카페,커피",서울특별시 동작구 여의대방로24길 101 1층,10:00,00:00,0507-1361-3276,"차모임,혼자카페","캐주얼한,카공,점심식사,테이크아웃,와이파이",37.4990877047725,126.925611349157
4,일진아구찜,https://d12zq4w4guyljn.cloudfront.net/300_300_20250206042202346_photo_75637b91f7d4.jpg,신대방삼거리역,아구찜,서울특별시 동작구 여의대방로24길 93 1층,11:00,22:00,02-817-5554,가족외식,"서민적인,매콤한,점심식사,저녁식사,유아의자",37.4989539092415,126.925189437396
5,와플대학 신대방삼거리캠퍼스,https://d12zq4w4guyljn.cloudfront.net/300_300_20250711140010_photo1_b31163104d72.webp,신대방,"와플,젤라또와플",서울특별시 동작구 보라매로 98 1층,11:00,22:00,0507-0284-4134,"간식,데이트","서민적인,시원,점심식사,저녁식사,테이크아웃",37.4979900385753,126.928281846408
6,신정닭발,https://d12zq4w4guyljn.cloudfront.net/300_300_20260314030245_photo1_15f875f4b6c9.webp,신대방삼거리역,"닭발,국물닭발",서울특별시 동작구 국사봉1길 4,16:00,01:00,02-3280-4646,"술모임,야식","시끌벅적한,매콤한,저녁식사,셀프바,와이파이",37.4987738088069,126.928852981582
7,서민준밀밭,https://d12zq4w4guyljn.cloudfront.net/300_300_20260325121531563_photo_893cdf7af757.webp,신대방삼거리역,"콩국수,검정콩국수",서울특별시 동작구 상도로12길 7,11:00,21:00,02-6215-2012,"혼밥,가족외식","서민적인,깔끔한,점심식사,저녁식사,셀프바",37.4993172098742,126.92991527239
8,전주할매집 신대방점,https://d12zq4w4guyljn.cloudfront.net/300_300_20251105010742870_photo_c73a7585800a.webp,신대방삼거리역,"비빔밥,한식","서울특별시 동작구 국사봉1길 18 , 1층",00:00,24:00,02-812-7671,"혼밥,해장","지역주민이찾는,한가한,점심식사,연중무휴",37.4986551850367,126.929518840656
9,마포갈비,https://d12zq4w4guyljn.cloudfront.net/300_300_20260205104448612_photo_fed59be8cc85.webp,신대방삼거리역,돼지갈비,서울특별시 동작구 보라매로 112 마포갈비,11:00,22:00,02-821-3330,"식사모임,가족외식","서민적인,넓은,점심식사,저녁식사,예약가능,무료주차",37.4993137600512,126.928518518762
