restaurant_code,reviewer_name,reviewer_avg_score,reviewer_rv_cnt,reviewer_follower_cnt,reviewer_score,taste_level,price_level,service_level,review_content,review_menu,keywords
0,냐밍,4.3,355,69,4점,2,2,1,요즘 회전초밥집 정말 비싼데 여긴 가성비 갑이었어요! 위치는 조금 복잡한 곳에 있긴 하지만 가성비를 찾는다면 여기 강추합니다! 초밥이 어느 순간에는 같은 종류가 나오는 것처럼 느껴지긴 하지만 그래도 가성비로다가 다양하게 먹을 수 있습니다! 상태도 싱싱하고 저렴해서 그런지 혼밥으로 회전초밥 먹으려고 오시는 분들도 있더라구요! 저는 초밥을 먹을 때 롤 종류도 좋아하는데 여긴 롤이 많아서 좋았습니다~가끔 회전초밥 집 가면 자리 선점 잘못하면 먹고 싶은 거 나올때까지 한참을 기더려야 하는데 여긴 그런 거 없이 균일하게 잘 나왔던 것 같습니다!,회전초밥,"저녁식사,식사모임,캐주얼한,이국적/이색적,가성비좋은"
0,발통이,4.5,113,1,4점,1,2,2,한접시에 1500원이면 저렴해요 근데 맛도 생각보다 괜찮았어요! 엄청난 퀄리티는 아니지만 이 가격에 이정도면 훌륭해요~ 비싼 스시는 한개 작은건 두피스씩 있어요! 응대 아주 친절합니다,스시,"점심식사,지역주민이찾는"
0,우리의나날,4.5,420,2,5점,2,2,2,"생일날 갔어요. 저녁시간 웨이팅있었지만 금방 자리에 앉았어요. 회전초밥 모든접시가 1500원이라 큰 기대 안했는데 진짜 맛있었어요!
일반 초밥집보다 훨씬! 재방문 의사 백퍼센트!",회전초밥 1500원,"저녁식사,데이트,서민적인,푸짐한,지역주민이찾는"
0,냠냠냠히,4.8,71,0,5점,2,2,2,"모든접시 1,700원 이라는 가성비에 맛도 좋고 이런 굿굿!!","연어,장어","저녁식사,가성비좋은"
0,밍민,4.8,232,2,5점,2,2,2,1500원이라가성비좋아요 다양하게 먹을 수 있고 여러가지종류있어서 좋아요,회전초밥,"점심식사,캐주얼한"
0,먼지님,4.5,532,47,5점,2,2,2,무조건 1500원 가성비 좋아요 동생이랑 가서 29접시 먹고왔어요,"새우초밥,장어초밥,연어초밥","점심식사,가성비좋은,깔끔한"
0,맛집마니아아,3.7,139,0,4점,1,2,2,"한 접시 1500원이고 접시당 1~2개의 초밥이 있어요
간단히 초밥 땡길때 방문하기 좋습니다","회전초밥,회덮밥","점심식사,저녁식사,혼밥,가족외식,데이트,가성비좋은,무료주차"
0,따줘,4.5,134,1,5점,2,2,2,"부담없이 여러가지를 골라서 먹을수있어서
넘 좋았어요~~",초밥,"저녁식사,서민적인"
1,이시국먹방러,3.6,272,3,5점,2,1,1,케이크와 까눌레가 아주 맛있습니다. 음료도 다양하게 팔고 있는데 취식자리가 없는것이 아쉽습니다.,"프레셔르,까눌레,페뜨드시뜨롱","간식,조용한"
1,"다코미식가
윤깅",3.7,122,50,5점,2,2,2,"전체적으로 기본에 충실한 디저트를 선보이는 곳
ㅇㅇㅇ 라는 디저트를 떠올렸을 때 딱 생각나는 맛을 구현해줌
이게 정말 어렵거든요
케이크류는 거의 다 먹어봤는데 정말 최고","이자벨소메,아이스아메리카노","차모임,간식,조용한,예쁜,깔끔한"
1,MarkJacob,4.5,409,19,5점,2,1,1,6년 연속 블루리본을 받고 있는 디저트카페. 일단 외관이나 내부 인테리어 및 디저트 디스플레이들을 보는 순간 마구마구 촬영욕구가 생김. 바닐라 커스터드 디저트인 생토로레를 먹었는데 인위적인 단맛이 아닌 진정한 바닐라 맛이 이런 맛이구나를 깨닫게해줌. 아인슈패너 역시 커피의 쌉쌀함과 크림의 달달함의 조화가 끝내줌. 창가에 앉아 망중한 즐기기에 최적인 곳!,아인슈페너,"혼카페,차모임,데이트,조용한,예쁜,주차불가"
1,냐밍,4.3,355,69,4점,2,1,2,예뻐서 연남동에서 밥 먹고 디저트 먹으러 가기 좋은 카페에요! 조용한 편이구 사장님도 친절한 편이에요! 딸기라떼 맛있구 프리지에도 가격이 좀 나가긴 하지만 맛있어요!,"딸기라떼,프리지에","데이트,디저트,캐주얼한,조용한,예쁜"
1,"다코미식가
조이",3.7,556,195,4점,2,1,1,"전문 파티쉐가 운영하고 전문 바리스타가 커피를 내리는 카페! 화이트톤 인테리어와 고대유럽을 연상케하는 블링블링한 소품과 분위기가 디저트 카페다운 멋을 더 살려주는 곳입니다. 화이트톤에 조명도 매우 밝은 편이어서 눈이 아플 수 있어요. 테라스는 아니지만 창가쪽을 예쁘게 꾸며놓아서 곳곳이 사진찍기 좋은 스팟입니다!음료는 아메리카노와 프란치 스카너를 선택했습니다. 원두향이 일단 정말 좋네요. 바리스타가 아주 꼼꼼하게 원두 선별 작업을 한다고 들었는데 바디감도 그렇고 고소한 정도, 탄 향 없는 것 등등 전반적으로 아주 좋았어요. 
다양한 제조음료가 많아서 하나 선택해서 먹어보고 싶었는데 에스프레소에 크림을 올려 만들었다는 프란치 스카너는 한번도 먹어보지 못한 커피라서 선택했습니다. 사진과 자세한 설명이 있어서 좋았어요. 프란치 스카너는 아주 달달하고 브라운 슈가 때문인지 초콜렛 베이스 원두를 쓰는지 모르겠으나 초코맛이 느껴졌어요. 당 떨어져서 달달한 음료 마시고 싶을 때 드시는 걸 추천합니다.전문 파티쉐가 운영하기 때문에 디저트 한번 드셔보시는 것도 추천드려요. 블루리본 마크를 2번이나 받은 디저트 맛집이라고 합니다.화장실이 문 밖에 바로 앞에 있는데 공용으로 되어 있어요. 화장실까지 인테리어 공을 들여서 내부는 매우 깨끗하고 고급스럽게 꾸며져 있어요.","아메리카노,프란치스카너","차모임,혼카페,데이트,기념일,친구들끼리,여자끼리,예쁜,깔끔한,노키즈"
1,Fraise,4.4,133,12,5점,2,2,2,연남동의 유명한 디저트 맛집. 하나하나 정성이 들어가 있고 좋은 재료들로만 사용한 게 느껴져요~ 재방문의사 100%,"샤케라또,바닐라라떼,프레지에,가토 오 쇼콜라","아이동반,차모임,혼카페,데이트,기념일,간식,숨은맛집,고급스러운,조용한,예쁜,깔끔한"
1,혀니,3.6,12,14,3점,1,0,1,"참 예쁜 카페다.
들어가자마자 예쁘다 라는 느낌으로 시작하고, 주문 할 때 쇼케이스에 보이는 마카롱과 케잌을 보고 있으면 주문을 하지 않을수 없는 에쁜 비쥬얼에 홀린 듯 주문한다.커피와 케잌을 시킨 후 자리에 앉으면 서버가 자리로 가져다 주신다.아담하고 예쁜 케잌에 기대를 부풀고 포크로 한입 떠 먹는 순간 뇌리를 스치는 생각.
멋에서 시작해 멋에서 끝나는 맛.
비쥬얼에 압도당해 맛은 멋을 따라가지 못한다. 가격은 1개당 5-6후반대이며 인스타용 사진확보를 위한다면 시키시라.
맛이 없진 않지만 쳐다보는게 더 만족감이 큰 케잌이었다.아메리카노는 산미가 많은 편이었고
이자벨소메는 크림이 묵직하고 부드러웠으며 달달하고 고소하니 맛있었으나
각얼음을 커피안에 넣지말고 쉐이커로 흔들어 차갑게 제공했으면 좋겠다.
얼음이 크림맛을 방해하는 느낌.분위기나 사진찍는 것을 좋아한다면 만족하리라 생각하는 곳.","아메리카노,프란치스카너,이자벨소메","혼카페,데이트,고급스러운,예쁜,깔끔한,주차불가"
1,최유빈,3.7,3,0,4점,2,1,2,"-서비스-친절합니다. 고급 레스토랑 친절함+진심에서 나오는 성의1인 1음료가 필수입니다. 사람도 많이 없던데 꼭 그래야하나 싶습니다.-가성비-이런 카페에서 가성비를 기대하면 안되나 봅니다.-음식-이자벨소메: 외관상으론 눈덩이가 연상됩니다. 눈덩이 느낌은 아니고 눈의 여왕? 눈의 여왕이 먹는 디저트가 이런 느낌이 아닐까 싶습니다..아메리카노: 유일하게 가성비가 괜찮았던 메뉴. 커피 잘 못마시는데 너무   쓰지도 않고 괜찮았습니다. 양도 많았습니다.프레지에: 위에 크림과 아래 시트, 가운데 딸기가 조화롭게 어울어졌습니다. 꿈빛 파티시엘이 생각났습니다.다 짱 맛있었습니다. 가격이 살인적이라 그렇지..-분위기-인테리어 압권입니다. 분위기로 이미 절반 먹고갑니다.-총평-...더보기","이자벨라,프레지에,아메리카노","혼카페,디저트,고급스러운,예쁜"
1,"다코미식가
summerhonged",3.5,177,52,5점,2,2,2,"경의선 숲길에서 연남동 쪽으로 가다보면 골목길 2층에 있는 카페로
여자들이 좋아할만한 디저트들과 음료 그리고 예쁜 인테리어로 인기 많은 카페다
디저트는 강남의 유명한 디저트 카페에서나 만나 볼 수 있는 수준 높은 디자인과 맛으로 많은 손님들의 눈길을 사로 잡는다
음료들은 최근에 유행하는 음료들은 모두 갖추어 있어 선택의 폭이 다양하다
또한 수제 청(시럽)을 이용해 건강한 단맛이 나는 음료까지 제공하고 있어 남녀노소 누구에게나 많은 사랑을 받고 있다
한국을 방문한 외국인 관광객들 사이에서도 입소문이 났는지 평일 오후에 다양한 언어가 들렸다
카페는 골목길 어귀에 위치하여 주차장이 따로 없어 대중교통을 이용하여 방문하는 것을 추천한다","레몬그레스,뱅쇼,몽블랑","차모임,고급스러운,예쁜"
1,대방94,4.5,70,1,5점,2,1,2,케잌은 고급스럽고 맛있었어요. 마카롱은 가격대비 쏘쏘…,프레지에,"차모임,혼카페,데이트,고급스러운,조용한,깔끔한"
1,깨흥,4.2,73,1,4점,2,2,2,연남동 디저트 맛집. 내부도 예쁘고 케이크도 정석으로 맛있네요. 프레지에 케익은 보기보다 살짝 단단한 느낌.  연차가 오래되어서 인지 요즘 인스타그램 나오는 핫한 느낌은 아니에요,"아메리카노,프레지에","간식,조용한,깔끔한"
1,엘리자베스 아델리 펭귀니,4.3,79,7,5점,2,1,2,홀이 쾌적하고 창문이 많고 커서 채광이 좋아요. 계절 디저트 복불복이 조금 있지만 구성도 괜찮고 무슬린 크림 늘 잘 만듦,프레지에,"아이동반,혼카페,데이트,간식,캐주얼한,시끌벅적한,예쁜,깔끔한"
1,sora,4.3,19,0,4점,1,1,2,음식을 주문하면 직접 가져다 주시는 카페여서 놀랐음! 디저트도 맛있었어요.,"히비스커스프롯티,아이스아메리카노,이자벨소메","차모임,예쁜"
1,말많은복숭아,4.6,10,0,4점,2,2,2,늦은 시간에 방문해서 디저트 종류는 별로 안남아있었지만 커피맛이 좋았어요.,갸또 오 쇼콜라,"차모임,데이트,간식,예쁜,깔끔한"
1,화양연가,3.9,97,6,4점,2,0,1,가격이 좀 비싸긴하지만 예쁘고 음료가 특히 맛있어요 디저트를 더 기대했었는데 음료가 더 괜찮네요ㅎㅎ,"몽블랑,그랑누아,애플시나몬라떼,스트로베리밀크티","데이트,예쁜"
1,ymmd,4.9,1209,29,5점,1,2,2,"조용하고 나름 넓은 카페였어요, 혼자서 노트북 하는 분들도 많이 계셨고, 조용한 카페여서 좋았어요",아메리카노,"차모임,혼카페,데이트,간식,숨은맛집,캐주얼한,고급스러운,조용한,예쁜,깔끔한"
1,조나123,3.9,23,3,4점,2,1,1,커플들이 많이 오는 듯한 연남동 디저트 카페. 커피도 맛있고 디저트도 진짜 맛있는데 좀 비싸네요...연남동 물가 생각하면 보통인듯.,"아인슈페너,마카롱","점심식사,데이트,간식,디저트,고급스러운,조용한,예쁜,깔끔한"
1,gangvy,4.5,262,14,4점,2,2,1,공간이 아기자기하고 예쁩니다. 아인슈패너 맛있습니다. 디저트 케잌도 맛있습니다.,아인슈패너,"차모임,캐주얼한"
