category_code,category_name
CAT0000,고깃집
CAT0001,짜장면
CAT0002,일식당
CAT0003,숙성회
CAT0004,돼지갈비
CAT0005,낙지볶음
CAT0006,오징어
CAT0007,케이크
CAT0008,뼈해장국
CAT0009,포차
CAT0010,카츠
CAT0011,떡볶이
CAT0012,참치회
CAT0013,소갈비살
CAT0014,부타동
CAT0015,디저트
CAT0016,야끼니꾸
CAT0017,호떡
CAT0018,꽈배기
CAT0019,보리밥
CAT0020,1인샤브
CAT0021,테이크아웃카페
CAT0022,분식
CAT0023,소곱창전골
CAT0024,마라샹궈
CAT0025,기계우동
CAT0026,누룽지통닭
CAT0027,오징어보쌈
CAT0028,낙지
CAT0029,와플
CAT0030,소고기국밥
CAT0031,피맥
CAT0032,동태탕
CAT0033,게장
CAT0034,고기집
CAT0035,보쌈
CAT0036,후라이드
CAT0037,흑염소탕
CAT0038,텐동
CAT0039,빙수
CAT0040,횟집
CAT0041,묵은지
CAT0042,직화낙지볶음
CAT0043,피자집
CAT0044,골뱅이소면
CAT0045,검정콩국수
CAT0046,술집
CAT0047,꿔바로우
CAT0048,샐러드
CAT0049,족발
CAT0050,칼국수
CAT0051,제육쌈밥
CAT0052,스시
CAT0053,돌솥밥
CAT0054,곱창전골
CAT0055,소곱창
CAT0056,전집
CAT0057,바지락칼국수
CAT0058,타코야끼
CAT0059,포케
CAT0060,김밥
CAT0061,국물닭발
CAT0062,생맥주
CAT0063,쌈밥
CAT0064,곱창볶음
CAT0065,국밥
CAT0066,치킨
CAT0067,샤브샤브
CAT0068,닭갈비
CAT0069,갑오징어
CAT0070,연어초밥
CAT0071,빵
CAT0072,우설
CAT0073,주먹구이
CAT0074,피자
CAT0075,수제비
CAT0076,시래기불고기
CAT0077,막걸리
CAT0078,장어
CAT0079,수제버거
CAT0080,곱창
CAT0081,양념게장
CAT0082,단팥죽
CAT0083,마라탕
CAT0084,고추튀김
CAT0085,중국집
CAT0086,낙지비빔밥
CAT0087,베트남쌀국수
CAT0088,밥집
CAT0089,닭발
CAT0090,한식
CAT0091,흑염소
CAT0092,콩국수
CAT0093,감자탕
CAT0094,식빵
CAT0095,회전초밥
CAT0096,김치닭볶음탕
CAT0097,순대국
CAT0098,베트남음식
CAT0099,돈까스
CAT0100,비빔밥
CAT0101,핫도그
CAT0102,젤라또와플
CAT0103,반찬가게
CAT0104,붕어빵
CAT0105,꼬치
CAT0106,생선구이
CAT0107,닭꼬치
CAT0108,커피
CAT0109,참치무한리필
CAT0110,수박주스
CAT0111,대방어
CAT0112,목살
CAT0113,마카롱
CAT0114,이자카야
CAT0115,카페
CAT0116,통닭
CAT0117,젓갈전문
CAT0118,육전국밥
CAT0119,일본가정식
CAT0120,소금구이
CAT0121,장어구이
CAT0122,아구찜
