review_code,restaurant_code,user_code,score,taste_level,price_level,service_level,content,menu
REV0000,RES0000,USR0000,4점,2.0,2.0,1.0,요즘 회전초밥집 정말 비싼데 여긴 가성비 갑이었어요! 위치는 조금 복잡한 곳에 있긴 하지만 가성비를 찾는다면 여기 강추합니다! 초밥이 어느 순간에는 같은 종류가 나오는 것처럼 느껴지긴 하지만 그래도 가성비로다가 다양하게 먹을 수 있습니다! 상태도 싱싱하고 저렴해서 그런지 혼밥으로 회전초밥 먹으려고 오시는 분들도 있더라구요! 저는 초밥을 먹을 때 롤 종류도 좋아하는데 여긴 롤이 많아서 좋았습니다~가끔 회전초밥 집 가면 자리 선점 잘못하면 먹고 싶은 거 나올때까지 한참을 기더려야 하는데 여긴 그런 거 없이 균일하게 잘 나왔던 것 같습니다!,회전초밥
REV0001,RES0000,USR0001,4점,1.0,2.0,2.0,한접시에 1500원이면 저렴해요 근데 맛도 생각보다 괜찮았어요! 엄청난 퀄리티는 아니지만 이 가격에 이정도면 훌륭해요~ 비싼 스시는 한개 작은건 두피스씩 있어요! 응대 아주 친절합니다,스시
REV0002,RES0000,USR0002,5점,2.0,2.0,2.0,"생일날 갔어요. 저녁시간 웨이팅있었지만 금방 자리에 앉았어요. 회전초밥 모든접시가 1500원이라 큰 기대 안했는데 진짜 맛있었어요!
일반 초밥집보다 훨씬! 재방문 의사 백퍼센트!",회전초밥 1500원
REV0003,RES0000,USR0003,5점,2.0,2.0,2.0,"모든접시 1,700원 이라는 가성비에 맛도 좋고 이런 굿굿!!","연어,장어"
REV0004,RES0000,USR0004,5점,2.0,2.0,2.0,1500원이라가성비좋아요 다양하게 먹을 수 있고 여러가지종류있어서 좋아요,회전초밥
REV0005,RES0000,USR0005,5점,2.0,2.0,2.0,무조건 1500원 가성비 좋아요 동생이랑 가서 29접시 먹고왔어요,"새우초밥,장어초밥,연어초밥"
REV0006,RES0000,USR0006,4점,1.0,2.0,2.0,"한 접시 1500원이고 접시당 1~2개의 초밥이 있어요
간단히 초밥 땡길때 방문하기 좋습니다","회전초밥,회덮밥"
REV0007,RES0000,USR0007,5점,2.0,2.0,2.0,"부담없이 여러가지를 골라서 먹을수있어서
넘 좋았어요~~",초밥
REV0008,RES0001,USR0008,5점,2.0,1.0,1.0,케이크와 까눌레가 아주 맛있습니다. 음료도 다양하게 팔고 있는데 취식자리가 없는것이 아쉽습니다.,"프레셔르,까눌레,페뜨드시뜨롱"
REV0009,RES0001,USR0009,5점,2.0,2.0,2.0,"전체적으로 기본에 충실한 디저트를 선보이는 곳
ㅇㅇㅇ 라는 디저트를 떠올렸을 때 딱 생각나는 맛을 구현해줌
이게 정말 어렵거든요
케이크류는 거의 다 먹어봤는데 정말 최고","이자벨소메,아이스아메리카노"
