tag_code,name
TAG0000,24시간영업
TAG0001,회식
TAG0002,포장전문
TAG0003,이국적/이색적
TAG0004,지역주민이 찾는
TAG0005,실버푸드
TAG0006,여름보양식
TAG0007,노포
TAG0008,혼밥
TAG0009,크리스마스
TAG0010,대기장소
TAG0011,야외자리
TAG0012,식사모임
TAG0013,디저트
TAG0014,아늑한
TAG0015,배달
TAG0016,오빠랑
TAG0017,혼자먹기좋은
TAG0018,경관/야경이좋은
TAG0019,아담한
TAG0020,접대
TAG0021,데이트
TAG0022,회식장소
TAG0023,예약필수
TAG0024,점심식사
TAG0025,비오는날
TAG0026,아이동반
TAG0027,매콤한
TAG0028,간단히한잔
TAG0029,와이파이
TAG0030,매콤
TAG0031,낮술
TAG0032,예약불가
TAG0033,불맛
TAG0034,안주
TAG0035,저렴
TAG0036,가성비좋은
TAG0037,노키즈
TAG0038,친구들끼리
TAG0039,콜키지
TAG0040,칸막이
TAG0041,반려동물동반
TAG0042,여자끼리
TAG0043,모던한
TAG0044,무료주차
TAG0045,콜키지프리
TAG0046,고급스러운
TAG0047,몸보신
TAG0048,야외좌석(테라스)
TAG0049,해장
TAG0050,해장용
TAG0051,아기
TAG0052,기본안주 및 무료잔사케1인1잔제공
TAG0053,동네맛집
TAG0054,서민적인
TAG0055,바자리
TAG0056,점심맛집
TAG0057,테이크아웃
TAG0058,다이어트식단
TAG0059,분위기좋은
TAG0060,개별룸
TAG0061,바테이블
TAG0062,다양한반찬
TAG0063,숨은맛집
TAG0064,송년회
TAG0065,저녁식사
TAG0066,매장식사
TAG0067,7시이전 방문 1+1 이벤트
TAG0068,연중무휴
TAG0069,야외테라스
TAG0070,무설탕
TAG0071,시원
TAG0072,동네사람
TAG0073,한가한
TAG0074,간단하게한잔
TAG0075,보양식
TAG0076,레트로
TAG0077,얼큰
TAG0078,넓은테이블
TAG0079,주차불가
TAG0080,애완동물동반
TAG0081,술안주
TAG0082,식신로드
TAG0083,혼카페
TAG0084,혼술
TAG0085,비오는날 미니김치전
TAG0086,생일파티
TAG0087,2차
TAG0088,연탄불
TAG0089,소개팅
TAG0090,청결한
TAG0091,부추전 제공
TAG0092,지역주민이찾는
TAG0093,기념일
TAG0094,다찌석
TAG0095,다양한메뉴
TAG0096,네이버예약시 생선튀김제공
TAG0097,혼자먹기
TAG0098,가족외식
TAG0099,호주산
TAG0100,술모임
TAG0101,간단히먹기
TAG0102,셀프코너
TAG0103,모임
TAG0104,단체모임
TAG0105,캐주얼한
TAG0106,전참시
TAG0107,간식
TAG0108,깔끔한
TAG0109,차모임
TAG0110,아기의자
TAG0111,유아의자
TAG0112,카공
TAG0113,혼자카페
TAG0114,남녀구분화장실
TAG0115,국내산
TAG0116,좌식
TAG0117,푸짐한
TAG0118,야장
TAG0119,테라스
TAG0120,넓은
TAG0121,야외테이블
TAG0122,예쁜
TAG0123,포장
TAG0124,콜키지무료
TAG0125,시끌벅적한
TAG0126,모범음식점
TAG0127,야식
TAG0128,아침식사
TAG0129,예약가능
TAG0130,소개팅장소
TAG0131,엄청맛있는
TAG0132,착한가격
TAG0133,조용한
TAG0134,혼밥 존
TAG0135,대형룸
TAG0136,모임장소
TAG0137,바깥자리
TAG0138,저렴한
TAG0139,셀프바
TAG0140,격식있는
TAG0141,생방송투데이
TAG0142,예약
