restaurant_code,tag_code
RES0000,TAG0036
RES0000,TAG0054
RES0000,TAG0024
RES0000,TAG0065
RES0000,TAG0061
RES0000,TAG0094
RES0000,TAG0021
RES0000,TAG0008
RES0001,TAG0122
RES0001,TAG0108
RES0001,TAG0024
RES0001,TAG0057
RES0001,TAG0129
RES0001,TAG0021
RES0001,TAG0093
RES0002,TAG0092
RES0002,TAG0027
RES0002,TAG0065
RES0002,TAG0129
RES0002,TAG0015
RES0002,TAG0100
RES0002,TAG0050
RES0003,TAG0105
RES0003,TAG0112
RES0003,TAG0024
RES0003,TAG0057
RES0003,TAG0029
RES0003,TAG0109
RES0003,TAG0113
RES0004,TAG0054
RES0004,TAG0027
RES0004,TAG0024
RES0004,TAG0065
RES0004,TAG0111
RES0004,TAG0098
RES0005,TAG0054
RES0005,TAG0071
RES0005,TAG0024
RES0005,TAG0065
RES0005,TAG0057
RES0005,TAG0107
RES0005,TAG0021
RES0006,TAG0125
RES0006,TAG0027
RES0006,TAG0065
RES0006,TAG0139
RES0006,TAG0029
RES0006,TAG0100
RES0006,TAG0127
RES0007,TAG0054
RES0007,TAG0108
RES0007,TAG0024
RES0007,TAG0065
RES0007,TAG0139
RES0007,TAG0008
RES0007,TAG0098
RES0008,TAG0092
RES0008,TAG0073
RES0008,TAG0024
RES0008,TAG0068
RES0008,TAG0008
RES0008,TAG0049
RES0009,TAG0054
RES0009,TAG0120
RES0009,TAG0024
RES0009,TAG0065
RES0009,TAG0129
RES0009,TAG0044
RES0009,TAG0012
RES0009,TAG0098
RES0010,TAG0105
RES0010,TAG0059
RES0010,TAG0065
RES0010,TAG0040
RES0010,TAG0041
RES0010,TAG0015
RES0010,TAG0100
RES0010,TAG0021
RES0011,TAG0054
RES0011,TAG0006
RES0011,TAG0024
RES0011,TAG0065
RES0011,TAG0139
RES0011,TAG0129
RES0011,TAG0044
RES0011,TAG0012
RES0011,TAG0047
RES0012,TAG0108
RES0012,TAG0009
RES0012,TAG0024
RES0012,TAG0065
RES0012,TAG0066
RES0012,TAG0129
RES0012,TAG0109
RES0012,TAG0093
RES0013,TAG0105
RES0013,TAG0030
RES0013,TAG0024
RES0013,TAG0065
RES0013,TAG0029
RES0013,TAG0015
RES0013,TAG0107
RES0013,TAG0097
RES0014,TAG0054
RES0014,TAG0115
RES0014,TAG0065
RES0014,TAG0088
RES0014,TAG0044
RES0015,TAG0046
RES0015,TAG0059
RES0015,TAG0065
RES0015,TAG0039
RES0015,TAG0015
RES0015,TAG0100
RES0015,TAG0021
RES0016,TAG0054
RES0016,TAG0108
RES0016,TAG0024
RES0016,TAG0065
RES0016,TAG0102
RES0016,TAG0029
RES0016,TAG0012
RES0016,TAG0008
RES0017,TAG0054
RES0017,TAG0108
RES0017,TAG0024
RES0017,TAG0065
RES0017,TAG0111
RES0017,TAG0015
RES0017,TAG0001
RES0017,TAG0104
RES0018,TAG0054
RES0018,TAG0108
RES0018,TAG0024
RES0018,TAG0065
RES0018,TAG0008
RES0018,TAG0005
RES0019,TAG0054
RES0019,TAG0007
RES0019,TAG0024
RES0019,TAG0065
RES0019,TAG0121
RES0019,TAG0008
RES0019,TAG0127
RES0020,TAG0054
