menu_code,restaurant_code,name,price,description
MEN0000,RES0000,회전초밥,,
MEN0001,RES0000,장어초밥,,
MEN0002,RES0001,프레지에 1호 홀케이크,50000.0,
MEN0003,RES0001,프레지에,10500.0,
MEN0004,RES0001,페르디셔 압펠,6000.0,
MEN0005,RES0001,루이보스 스트로베리 크림,6000.0,
MEN0006,RES0001,바바리안 민트,6000.0,
MEN0007,RES0001,아메리카노,4500.0,
MEN0008,RES0001,마카롱,2500.0,
MEN0009,RES0001,[패스오더전용] 100원 아메리카노,100.0,"패스오더 앱 설치하면, 최소 주문 금액 없이 100원에 커피 주문+1,500원 쿠폰까지"
MEN0010,RES0001,카페라떼,5000.0,
MEN0011,RES0001,카푸치노,5000.0,
MEN0012,RES0001,카페모카,5000.0,
MEN0013,RES0001,바닐라라떼,5500.0,
MEN0014,RES0001,임페리얼 얼그레이,6000.0,
MEN0015,RES0002,한제소곱창전골(소),32000.0,
MEN0016,RES0002,한제소곱창전골 중,42000.0,곱이 꽉꽉 차있는 소곱창과 깐양을 넣고 배추 버섯등을 듬뿍 넣은 맛있는 소곱창전골입니다
MEN0017,RES0002,한제소곱창전골 대,52000.0,곱이 꽉 차있는 소곱창과 깐양을 넣고 배추 버섯등을 푸짐하게 넣어 국물이 진하고 맛있습니다
MEN0018,RES0002,한제소고기전골 소,32000.0,사태를 넣고 배추 버섯등을 듬뿍 넣어 담백하고 깔끔합니다
MEN0019,RES0002,한제소고기전골 중,42000.0,사태를 넣고 배추 버섯등을 듬뿍 넣어 담백하고 깔끔합니다
MEN0020,RES0002,한제소고기전골 대,52000.0,사태를 넣고 배추 버섯등을 듬뿍 넣어 담백하고 깔끔합니다
MEN0021,RES0002,소곱창튀김,15000.0,어디에서도 맛볼 수 없던 소곱창튀김입니다 한제의 다양한 소스에 찍어먹으면 꿀맛 !!
MEN0022,RES0002,한우수제떡갈비,15000.0,수제로 만든 아이 어른 누구나 좋아하는 떡갈비
MEN0023,RES0002,도가니수육,22000.0,남녀노소 모두가 좋아하는 건강식!
MEN0024,RES0002,한제수육,22000.0,사태로 만든 술안주 끝판왕 수육
MEN0025,RES0003,에스프레소,2800.0,
MEN0026,RES0003,아메리카노,2800.0,
MEN0027,RES0003,밀크티,5800.0,
MEN0028,RES0003,민트초코라떼,5000.0,
MEN0029,RES0003,얼그레이,4800.0,
MEN0030,RES0003,페퍼민트,4800.0,
MEN0031,RES0003,캐모마일,4800.0,
MEN0032,RES0003,수제레몬청,5800.0,
MEN0033,RES0003,민트초코 프라푸치노,5500.0,
MEN0034,RES0003,피스타치오 아몬드 프라푸치노,5500.0,
MEN0035,RES0003,레몬에이드,5900.0,
MEN0036,RES0003,자몽에이드,5900.0,
MEN0037,RES0003,라떼,3300.0,
MEN0038,RES0003,수제 스트로베리 크럼블,6200.0,
MEN0039,RES0003,수제 당근케이크,6500.0,
MEN0040,RES0003,수제 치즈케이크,6000.0,
MEN0041,RES0003,수제 바스크치즈케이크,7000.0,
MEN0042,RES0003,수제 브라우니,7000.0,
MEN0043,RES0003,복숭아 아이스티,4500.0,
MEN0044,RES0003,빅토리아 케이크,7000.0,
MEN0045,RES0003,딸기크림,3500.0,
MEN0046,RES0003,피넛크림,3500.0,
MEN0047,RES0003,얼그레이크림,3500.0,
